word,part_of_speech,translation,example,source_date,source_file
"ser","verb","to be (essence/identity)","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"estar","verb","to be (state/location)","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"médico/a","expr","doctor","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"arquitecto/a","expr","architect","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"jefe","expr","boss","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"equipo","expr","team","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"estación","expr","station","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"aula","expr","classroom","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"disponible","expr","available","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"listo/a","expr","ready","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"ocupado/a","expr","busy","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"contento/a","expr","happy","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"nervioso/a","expr","nervous","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"enfermo/a","expr","sick","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"tranquilo/a","expr","calm","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"cerca (de)","expr","near","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"en el centro","expr","downtown/center","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"Adjetivos temporales con estar","verb","«estoy cansado», «está listo».","","2025-09-30-16-38","vocabulary/vocabulary-2025-09-30-16-38.md"
"ir","verb","to go","","2025-09-30","vocabulary/vocabulary-2025-09-30-12-12.md"
